Timestamp,FrameNumber,MarkerID,MarkerName,PosX,PosY,PosZ,Residual,Params
27641.1803844,1004,0,Sub002_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27641.1803844,1004,1,Sub002_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27641.1803844,1004,2,Sub002_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27641.1803844,1004,0,Sub001_M0,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27641.1803844,1004,1,Sub001_M1,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27641.1803844,1004,2,Sub001_M2,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27641.1803844,1004,3,Sub001_M3,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27641.1803844,1004,0,all_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27641.1803844,1004,1,all_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27641.1803844,1004,2,all_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27641.1803844,1004,3,all_M3,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27641.1803844,1004,4,all_M4,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27641.1803844,1004,5,all_M5,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27641.1803844,1004,6,all_M6,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27641.1885769,1005,0,Sub002_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27641.1885769,1005,1,Sub002_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27641.1885769,1005,2,Sub002_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27641.1885769,1005,0,Sub001_M0,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27641.1885769,1005,1,Sub001_M1,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27641.1885769,1005,2,Sub001_M2,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27641.1885769,1005,3,Sub001_M3,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27641.1885769,1005,0,all_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27641.1885769,1005,1,all_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27641.1885769,1005,2,all_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27641.1885769,1005,3,all_M3,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27641.1885769,1005,4,all_M4,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
