Timestamp,FrameNumber,MarkerID,MarkerName,PosX,PosY,PosZ,Residual,Params
27621.5186443,219,0,Sub002_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5186443,219,1,Sub002_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5186443,219,2,Sub002_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5186443,219,0,Sub001_M0,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27621.5186443,219,1,Sub001_M1,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27621.5186443,219,2,Sub001_M2,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27621.5186443,219,3,Sub001_M3,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27621.5186443,219,0,all_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5186443,219,1,all_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5186443,219,2,all_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5186443,219,3,all_M3,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27621.5186443,219,4,all_M4,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27621.5186443,219,5,all_M5,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27621.5186443,219,6,all_M6,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27621.5266385,220,0,Sub002_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5266385,220,1,Sub002_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5266385,220,2,Sub002_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5266385,220,0,Sub001_M0,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27621.5266385,220,1,Sub001_M1,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27621.5266385,220,2,Sub001_M2,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27621.5266385,220,3,Sub001_M3,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27621.5266385,220,0,all_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5266385,220,1,all_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5266385,220,2,all_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5266385,220,3,all_M3,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27621.5266385,220,4,all_M4,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27621.5266385,220,5,all_M5,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27621.5266385,220,6,all_M6,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27621.5510626,221,0,Sub002_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5510626,221,1,Sub002_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5510626,221,2,Sub002_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5510626,221,0,Sub001_M0,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27621.5510626,221,1,Sub001_M1,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27621.5510626,221,2,Sub001_M2,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27621.5510626,221,3,Sub001_M3,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27621.5510626,221,0,all_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5510626,221,1,all_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5510626,221,2,all_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5510626,221,3,all_M3,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27621.5510626,221,4,all_M4,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27621.5510626,221,5,all_M5,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27621.5510626,221,6,all_M6,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27621.5527852,222,0,Sub002_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5527852,222,1,Sub002_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5527852,222,2,Sub002_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5527852,222,0,Sub001_M0,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
27621.5527852,222,1,Sub001_M1,-1.8323149681091309,0.8250059485435486,0.9162809252738953,0.0,0
27621.5527852,222,2,Sub001_M2,-1.8932085037231445,0.8944641351699829,0.886250376701355,0.0,0
27621.5527852,222,3,Sub001_M3,-1.9057538509368896,0.8470432162284851,0.9395173788070679,0.0,0
27621.5527852,222,0,all_M0,-0.5623579621315002,0.7124878168106079,1.8069751262664795,0.0,0
27621.5527852,222,1,all_M1,-0.6822065114974976,0.7784991264343262,1.8702946901321411,0.0,0
27621.5527852,222,2,all_M2,-0.6219519376754761,0.535515546798706,1.8808737993240356,0.0,0
27621.5527852,222,3,all_M3,-1.835799217224121,0.8972477316856384,0.8867350220680237,0.0,0
